artwork_id,catalog_title,catalog_artist,object_type,source_provider,source_page,source_identifier,source_filename,local_cached_asset_path,rights_status,license,match_method,wikidata_label,wikidata_inventory,wikidata_p18,wikidata_louvre_linked,identity_evidence,identity_status,token_overlap,title_overlap
cl010062370,"Portrait de Lisa Gherardini, épouse de Francesco del Giocondo, dit La Joconde ou Monna Lisa","Léonard de Vinci (Leonardo di ser Piero da Vinci, dit Leonardo da Vinci)",,wikimedia_commons,"https://commons.wikimedia.org/wiki/File:Mona_Lisa,_by_Leonardo_da_Vinci,_from_C2RMF_natural_color.jpg",Q12418,"Mona_Lisa,_by_Leonardo_da_Vinci,_from_C2RMF_natural_color.jpg",exports\louvre\recognition_assets\cache\cl010062370.jpg,APPROVED,Public domain,wikidata_p217_inventory_exact,Mona Lisa,INV 779;MR 316,"Mona Lisa, by Leonardo da Vinci, from C2RMF natural color.jpg",True,curated landmark Wikidata QID and P18 file agree,VERIFIED,0.15,0.0667
cl010252531,Victoire de Samothrace,,,wikimedia_commons,https://commons.wikimedia.org/wiki/File:Victoire_de_Samothrace_-_Musee_du_Louvre_-_20190812.jpg,Q216402,Victoire_de_Samothrace_-_Musee_du_Louvre_-_20190812.jpg,exports\louvre\recognition_assets\cache\cl010252531.jpg,APPROVED,CC0,wikidata_p217_inventory_exact,Winged Victory of Samothrace,Ma 2369,La victoire de Samothrace au Louvre.jpg;Victoire de Samothrace - Musee du Louvre - 20190812.jpg,True,insufficient strong identity evidence,UNRESOLVED,0.1538,0.2857
cl010277627,Vénus de Milo,,,wikimedia_commons,https://commons.wikimedia.org/wiki/File:V%C3%A9nus_de_Milo_-_Mus%C3%A9e_du_Louvre_AGER_LL_299_;_N_527_;_Ma_399.jpg,Q151952,Vénus_de_Milo_-_Musée_du_Louvre_AGER_LL_299_;_N_527_;_Ma_399.jpg,exports\louvre\recognition_assets\cache\cl010277627.jpg,APPROVED,CC0,wikidata_p217_inventory_exact,Venus de Milo,LL 299;Ma 399;N 527,Vénus de Milo - Musée du Louvre AGER LL 299 ; N 527 ; Ma 399.jpg,False,insufficient strong identity evidence,UNRESOLVED,0.1429,0.25
cl010059199,Le radeau de la Méduse,"Géricault, Théodore",,wikimedia_commons,"https://commons.wikimedia.org/wiki/File:JEAN_LOUIS_TH%C3%89ODORE_G%C3%89RICAULT_-_La_Balsa_de_la_Medusa_(Museo_del_Louvre,_1818-19).jpg",Q212616,"JEAN_LOUIS_THÉODORE_GÉRICAULT_-_La_Balsa_de_la_Medusa_(Museo_del_Louvre,_1818-19).jpg",exports\louvre\recognition_assets\cache\cl010059199.jpg,APPROVED,Public domain,wikidata_p217_inventory_exact,The Raft of the Medusa,INV 4884,"JEAN LOUIS THÉODORE GÉRICAULT - La Balsa de la Medusa (Museo del Louvre, 1818-19).jpg",False,curated landmark Wikidata QID and P18 file agree,VERIFIED,0.1333,0.0
cl010062239,"Le serment des Horaces, entre les mains de leur père","David, Jacques-Louis",,wikimedia_commons,https://commons.wikimedia.org/wiki/File:Le_Serment_des_Horaces_-_Jacques-Louis_David_-_Mus%C3%A9e_du_Louvre_Peintures_INV_3692_;_MR_1432.jpg,Q476458,Le_Serment_des_Horaces_-_Jacques-Louis_David_-_Musée_du_Louvre_Peintures_INV_3692_;_MR_1432.jpg,exports\louvre\recognition_assets\cache\cl010062239.jpg,APPROVED,Public domain,wikidata_p217_inventory_exact,The Oath of the Horatii,INV 3692;INV. 3692;MR 1432,Le Serment des Horaces - Jacques-Louis David - Musée du Louvre Peintures INV 3692 ; MR 1432.jpg,False,Wikidata P217 inventory + P18 file + strong title/metadata agreement,VERIFIED,0.3333,0.1176
cl010064382,Les Noces de Cana,"Paolo Caliari, dit Veronese",,wikimedia_commons,https://commons.wikimedia.org/wiki/File:Les_Noces_de_Cana_-_Paolo_Veronese_-_Mus%C3%A9e_du_Louvre_Peintures_INV_142_;_MR_384.jpg,Q185255,Les_Noces_de_Cana_-_Paolo_Veronese_-_Musée_du_Louvre_Peintures_INV_142_;_MR_384.jpg,exports\louvre\recognition_assets\cache\cl010064382.jpg,APPROVED,Public domain,wikidata_p217_inventory_exact,The Wedding at Cana,INV 142;MR 384,Les Noces de Cana - Paolo Veronese - Musée du Louvre Peintures INV 142 ; MR 384.jpg,False,curated landmark Wikidata QID and P18 file agree,VERIFIED,0.3846,0.1818
cl010065566,"Une odalisque, dite La grande odalisque","Ingres, Jean-Auguste-Dominique",,wikimedia_commons,https://commons.wikimedia.org/wiki/File:La_grande_odalisque_-_Jean-Auguste_Dominique_Ingres_-_Mus%C3%A9e_du_Louvre_Peintures_RF_1158.jpg,Q1978815,La_grande_odalisque_-_Jean-Auguste_Dominique_Ingres_-_Musée_du_Louvre_Peintures_RF_1158.jpg,exports\louvre\recognition_assets\cache\cl010065566.jpg,APPROVED,Public domain,wikidata_p217_inventory_exact,Grande Odalisque,RF 1158,La grande odalisque - Jean-Auguste Dominique Ingres - Musée du Louvre Peintures RF 1158.jpg,False,Wikidata P217 inventory + P18 file + strong title/metadata agreement,VERIFIED,0.6364,0.2
cl010091976,L'Amour et Psyché à demi couchée,"Canova, Antonio",,wikimedia_commons,https://commons.wikimedia.org/wiki/File:0_Psych%C3%A9_ranim%C3%A9e_par_le_baiser_de_l%27Amour_-_Canova_-_Louvre_1.JPG,Q517408,0_Psyché_ranimée_par_le_baiser_de_l'Amour_-_Canova_-_Louvre_1.JPG,exports\louvre\recognition_assets\cache\cl010091976.jpg,APPROVED,CC BY 4.0,wikidata_p217_inventory_exact,Psyche Revived by Cupid's Kiss,MR 1777,0 Psyché ranimée par le baiser de l'Amour - Canova - Louvre 1.JPG,False,insufficient strong identity evidence,UNRESOLVED,0.1304,0.1667
cl010065872,Le 28 juillet 1830. La Liberté guidant le peuple,"Delacroix, Eugène",,wikimedia_commons,https://commons.wikimedia.org/wiki/File:La_Libert%C3%A9_guidant_le_peuple_-_Eug%C3%A8ne_Delacroix_-_Mus%C3%A9e_du_Louvre_Peintures_RF_129_-_apr%C3%A8s_restauration_2024.jpg,Q29530,La_Liberté_guidant_le_peuple_-_Eugène_Delacroix_-_Musée_du_Louvre_Peintures_RF_129_-_après_restauration_2024.jpg,exports\louvre\recognition_assets\cache\cl010065872.jpg,APPROVED,Public domain,wikidata_p217_inventory_exact,Liberty Leading the People,RF 129,La Liberté guidant le peuple - Eugène Delacroix - Musée du Louvre Peintures RF 129 - après restauration 2024.jpg,False,Wikidata P217 inventory + P18 file + strong title/metadata agreement,VERIFIED,0.3333,0.1765
cl010066107,"La Vierge, l'Enfant Jésus et sainte Anne, dit La Sainte Anne","Léonard de Vinci (Leonardo di ser Piero da Vinci, dit Leonardo da Vinci)",,wikimedia_commons,https://commons.wikimedia.org/wiki/File:Sainte_Anne_Leonard.jpg,Q563727,Sainte_Anne_Leonard.jpg,exports\louvre\recognition_assets\cache\cl010066107.jpg,APPROVED,Public domain,wikidata_p217_inventory_exact,The Virgin and Child with Saint Anne,INV 776;MR 319,Leonardo da Vinci - Virgin and Child with St Anne C2RMF retouched.jpg;Sainte Anne Leonard.jpg,False,Wikidata P217 inventory + P18 file + strong title/metadata agreement,VERIFIED,0.3333,0.2222
